item_id,price,time
35dfed5574,0.10,1328245275
35dfed5574,0.10,1328247767
22ab382305,0.10,1328242190
857c681b0b,0.16,1328242190
968793674a,1.41,1328241659
afce2bc194,2.40,1328239771
4ca5cfcf72,12.85,1328241681
66217ab06b,7.55,1328240700
66217ab06b,7.55,1328240704
66217ab06b,7.57,1328244076
c4f4bb01c2,0.10,1328242155
c4f4bb01c2,0.10,1328245230
6ff9e8ebff,0.10,1328245275
6ff9e8ebff,0.10,1328247769
3e2eb4e595,0.10,1328242190
34ec10d28d,0.10,1328242181
0d53224b48,0.10,1328242155
0d53224b48,0.10,1328245208
c75b367440,0.10,1328242190
7b231daaed,0.10,1328242190
6e4a2cc36e,0.10,1328242098
6e4a2cc36e,0.10,1328245159
15d0a3a176,1.35,1328241576
c27f9327a9,0.10,1328242190
7a68775d26,1.04,1328236769
bb25a24039,19.24,1328243961
36a7ca697d,0.49,1328242512
36a7ca697d,0.49,1328245595
c4564a47c2,0.49,1328242225
c4564a47c2,0.49,1328245304
2000b7236b,0.43,1328242183
ea1b851d90,13.81,1328242025
ea1b851d90,13.81,1328242027
ea1b851d90,13.79,1328245080
d7322efd5f,7.78,1328241334
d7322efd5f,7.79,1328244519
d7322efd5f,7.78,1328241341
d7322efd5f,7.78,1328241337
d7322efd5f,7.79,1328244516
d7322efd5f,7.79,1328244518
d7322efd5f,7.78,1328247103
d7322efd5f,7.78,1328244515
8a33db8845,14.50,1328239314
8a33db8845,14.52,1328248724
8a33db8845,14.50,1328245938
8a33db8845,14.50,1328245937
8a33db8845,14.52,1328243163
8a33db8845,14.52,1328243162
8a33db8845,14.50,1328239328
8a33db8845,14.50,1328239318
8a33db8845,14.52,1328243159
8a33db8845,14.52,1328243161
8a33db8845,14.50,1328245934
8a33db8845,14.50,1328245936
8a33db8845,14.50,1328243157
9b178b30a3,33.47,1328241298
9b178b30a3,33.47,1328241302
9b178b30a3,33.47,1328247090
9b178b30a3,33.47,1328241299
9b178b30a3,33.52,1328244496
9b178b30a3,33.52,1328244497
9b178b30a3,33.52,1328244498
9b178b30a3,33.47,1328244495
37e20626b1,0.45,1328242651
37e20626b1,0.44,1328245691
bb0793640e,0.36,1328238743
80c3497d6c,0.27,1328242655
80c3497d6c,0.27,1328245705
c9c3fbceef,1.78,1328239071
c9c3fbceef,1.79,1328250983
c9c3fbceef,1.78,1328252690
c9c3fbceef,1.79,1328250987
c9c3fbceef,1.79,1328250985
c9c3fbceef,1.78,1328248523
c9c3fbceef,1.78,1328248519
c9c3fbceef,1.78,1328245836
c9c3fbceef,1.78,1328239073
c9c3fbceef,1.78,1328245835
c9c3fbceef,1.79,1328242985
c9c3fbceef,1.79,1328242984
c9c3fbceef,1.78,1328239077
c9c3fbceef,1.79,1328242981
c9c3fbceef,1.79,1328242982
c9c3fbceef,1.78,1328245833
c9c3fbceef,1.78,1328245834
c9c3fbceef,1.78,1328248513
c9c3fbceef,1.78,1328248516
c9c3fbceef,1.79,1328250981
c9c3fbceef,1.78,1328242979
503121ab23,0.49,1328242225
503121ab23,0.49,1328245305
169a42ded6,0.49,1328242179
169a42ded6,0.49,1328245270
51a069d738,0.49,1328242372
51a069d738,0.49,1328245469
