item_id,feedback_time,feedback_rating,feedback_hash
35dfed5574,1320469275,5,512956b3447f053febb5736e38702013
35dfed5574,1328236967,5,6987bad465d9df6e77f1a4be5442b786
35dfed5574,1326606167,5,209f5182885e4dfd2cef8279d902e370
35dfed5574,1326606167,5,0cfddc2ae20512d506ddc4c50a50f226
35dfed5574,1326433367,5,f8924a31f7f62430430dcc6270809792
35dfed5574,1326260567,5,99ddee3a8fdf631c47e7eec0d9a41889
35dfed5574,1326001367,5,13fd850fea935973e6673e277f77afce
35dfed5574,1325742167,5,31d4541b8e926a24f0c9b835b68cfdf3
35dfed5574,1325655767,5,d9eed8321961a5ccacf170fe370330c5
35dfed5574,1320471767,5,56cdd7e9e3cef1974f4075c03a80332d
35dfed5574,1320471767,5,50c20383968802423dbcc6f27aceb4df
22ab382305,1325650190,5,5d3c5f35e04b2d3f70ec67935599fb1a
22ab382305,1320466190,5,3c18971605b1367c3d2ed6fda74be164
857c681b0b,1326946190,5,3cee386ca57ed2b5c1dc8a8478205de1
857c681b0b,1326082190,5,ff55da16ea814e4fab6f87c4c11d28e6
857c681b0b,1325650190,5,a46eb3b6ade9436af075d731346b78d2
857c681b0b,1320466190,5,50c20383968802423dbcc6f27aceb4df
968793674a,1325649659,1,8157853aeb390f8d6d3391c0fe091936
4ca5cfcf72,1326945681,5,78f7d456f284d8ef8581efb165761ba4
4ca5cfcf72,1325822481,5,0e9d0551740007c3cfde3ab4e19e7555
4ca5cfcf72,1325649681,5,f6ea88b8692a1d2513d8032173cbdc35
4ca5cfcf72,1323057681,5,894f1db92bb2ad4d4622e541b20afa9c
4ca5cfcf72,1323057681,5,3fb28a5e5b659db01e91c24a981fccd5
4ca5cfcf72,1320465681,5,fcc2d28a33d2df558f18766e067569c6
4ca5cfcf72,1320465681,5,bf2f263171d282920e5dbb2f8e1c0017
4ca5cfcf72,1320465681,5,659a28002b393bd2f857bae2fadef655
66217ab06b,1327117499,5,cb6f860729b7869bafac9ad3ae66a15e
66217ab06b,1327117499,5,1a003e2836fe885440426c21d730f81b
66217ab06b,1327031099,5,3f58f5e2025ef770832752d2edd85469
66217ab06b,1326944699,5,039a648c7a1fc420a70e098d87252241
66217ab06b,1326858299,5,e103f023dade09cd1d825d09f02b01db
66217ab06b,1326858299,5,fa056ba3ff56fc72603c139deac58f83
66217ab06b,1326858299,5,9f10758eebec025b434277e79639d11e
66217ab06b,1326771899,5,07ba17eb75bc891c1ceb421609efa173
66217ab06b,1326771899,4,f6c8ecf9623979b87093207e076b5195
66217ab06b,1326685499,5,823c79c85926363948b2fbada4a77e0e
66217ab06b,1326685500,5,180dd69fb541426ea24be91e889d4dc7
66217ab06b,1326512700,5,b1d27fc7f4ea4bab14a338d8a63cfa79
66217ab06b,1326512700,5,50c20383968802423dbcc6f27aceb4df
66217ab06b,1326426300,5,685db5c2e363fe57149637793bc979a9
66217ab06b,1326426300,5,427aa70f492d0562084da6dd85f24d4c
66217ab06b,1326339900,5,9e9236cb00718aafc05fbda0fe1ab63b
66217ab06b,1325994300,5,1ab8171fbe4b010270ae2834ce9b0ec0
66217ab06b,1325735100,5,63c671d3314c2d79f257764743353aa9
66217ab06b,1325735100,5,50853e6b62855343e29dbd111154883d
66217ab06b,1325648700,5,ecb55f4ab6a59a75a4aece64cc46b1aa
66217ab06b,1325652076,5,f10eac1024d4afe6432503f63f408495
66217ab06b,1325652076,5,aaf2b547ca0a9b6ad9e2bb07da96ee46
